dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
1.0	74092	id_105343	74032	id_105278
1.0	47734	id_68146	9652	id_14113
0.99	127911	id_178547	3312	id_4901
0.9	130581	id_182260	46865	id_67058
1.0	118134	id_164763	118070	id_164691
0.97	134473	id_187579	80191	id_113946
1.0	11333	id_16356	11316	id_16333
1.0	106688	id_149026	106655	id_148993
0.98	186807	id_259515	186695	id_259403
1.0	41975	id_60024	41967	id_60016
1.0	180189	id_250316	144546	id_201585
1.0	84249	id_119216	71888	id_101878
0.91	144124	id_200999	144121	id_200996
1.0	131184	id_183105	36537	id_52472
1.0	106688	id_149026	106686	id_149024
0.91	94850	id_132524	50246	id_71647
1.0	36769	id_52786	36767	id_52779
1.0	104799	id_146497	104684	id_146375
1.0	69193	id_97541	22544	id_32441
1.0	171944	id_239597	18452	id_26822
1.0	130189	id_181742	17957	id_26183
1.0	165240	id_230200	165071	id_230031
1.0	131147	id_183067	36588	id_52523
1.0	162693	id_226898	162685	id_226890
1.0	162693	id_226898	162686	id_226891
0.88	174635	id_243359	130581	id_182260
1.0	103683	id_145027	73741	id_104893
1.0	178921	id_248640	178587	id_248296
1.0	119315	id_166463	3982	id_5882
1.0	137572	id_191847	74012	id_105258
1.0	84868	id_120167	84864	id_120163
1.0	46216	id_66139	46211	id_66134
1.0	184627	id_256837	161109	id_224666
1.0	120091	id_167482	45760	id_65338
1.0	105187	id_146972	39298	id_56119
1.0	119492	id_166686	46056	id_65762
1.0	101531	id_141978	101436	id_141881
0.95	91948	id_129055	2027	id_2954
0.96	105187	id_146972	39288	id_56109
1.0	141861	id_197947	7317	id_10955
1.0	152838	id_212993	152711	id_212863
1.0	150433	id_209578	150347	id_209492
1.0	156416	id_218239	156362	id_218185
1.0	178955	id_248732	155122	id_216250
0.91	94850	id_132524	50236	id_71637
1.0	101333	id_141759	50922	id_72414
1.0	178955	id_248732	72683	id_103294
1.0	170257	id_237268	139894	id_195154
1.0	114216	id_159469	114204	id_159455
1.0	84249	id_119216	71864	id_101842
1.0	118664	id_165690	118635	id_165628
1.0	107416	id_150128	107309	id_149962
1.0	26809	id_37983	26543	id_37714
1.0	59548	id_84719	59543	id_84712
1.0	120902	id_168695	120872	id_168665
1.0	104149	id_145669	16261	id_23444
1.0	47448	id_67859	11166	id_16078
1.0	32253	id_45954	32208	id_45906
1.0	95489	id_133325	67646	id_95683
